current_mret,current_sp500_ret,current_excess_ret,current_net_flow,current_mtna,current_exp_ratio,current_mgmt_fee,current_turn_ratio,current_age,current_tenure,fund_trailing_period_return,fund_trailing_max_drawdown,fund_trailing_beta_vs_sp500,trailing_avg_net_flow,trailing_sum_net_flow,trailing_avg_mtna,trailing_avg_exp_ratio,trailing_avg_mgmt_fee,trailing_avg_turn_ratio,trailing_avg_age,trailing_avg_tenure,yield10y,stock_allocation,bond_allocation,cash_allocation,portfolio_beta,technology_exposure,bond_money_exposure,indirect_equity_exposure,company_equity_exposure_proxy,top_holding_concentration,delta_stock,delta_beta,delta_technology,delta_bond_money,delta_indirect_equity,style_deviation_score,rolling_style_deviation_score,action_strength,manager_reliability_score,manager_defensive_score,manager_flow_score,manager_growth_tilt_score,holding_row_count,beta_matched_holding_count,non_individual_matched_holding_count
-0.021411774,0.0069272087423597,-0.0283389827423597,0.0,61.9,0.006425,-0.054,0.2,8.0,4.662559890485968,0.0323204598419184,-0.10708441675,0.5012770889747984,0.0,0.0,105.32958333333336,0.006425,-0.033,0.174,5.0,2.132968286561716,2.7,,,0.0,0.0,0.0,0.519599838261,0.465399913788,0.0,0.984999752049,,0.0,0.0,0.01350006104,-0.0064999580369999,0.006144346617171,0.1511396478784315,0.01350006104,0.4951514548763206,0.4575373707266405,0.6426752344329758,0.400871607279953,10,0,10
0.0018505670666666,-0.0261973975636764,0.0280479646303431,2493000.0,197.5333333333333,0.0180666666666666,0.6960000000000001,0.81,15.0,0.0,0.2662880751856025,-0.059462382,0.4542593967988617,-4183350.0,-251001000.0,182.3188888888889,0.0189138888888888,0.697111111111111,1.1655,12.444444444444445,0.0,4.56,0.84,0.9036,0.0332,10.799172964165177,2.47,3.8264,0.5120648522835817,7.6036,9.8336,-5.4828,2.260437450528281,1.3799999999999997,-0.1002,0.0,1.752118520018977,0.8031980141905735,5.4828,0.5574400060237911,0.2730659802194824,0.8602846927072793,0.4533938490719415,10,8,4
0.0123076923,0.0284798175923617,-0.0161721252923617,0.0,82.6,0.002,0.129,0.07,13.0,0.0,0.0865158014605562,-0.096009254,0.4214962253570594,0.0,0.0,90.16833333333334,0.002,-0.1075333333333333,0.087,10.166666666666666,0.0,1.72,0.3154,0.6274,0.0572,0.0,0.0,0.0499999821,2.39539962767,0.0,2.44539960977,-0.0126999999999999,0.0,0.0,-0.6499998272,1.0658001040999998,0.6447178626917351,0.7699872843222803,1.0658001040999998,0.4854149657281636,0.784717517951497,0.6549956149227552,0.4963532493338752,4,0,4
0.01037795504,-0.0434599627805434,0.0538379178205434,0.0,105.48,0.0107199999999999,0.5064,0.9399999999999998,3.8,2.6611909650924024,0.5162674995309662,-0.034354689,0.3869453287902387,0.0,0.0,299.44491666666664,0.0124629999999999,0.5684066666666666,0.5700000000000001,3.3391666666666664,0.685284052019165,4.67,0.1321999999999999,0.8678,0.0,0.1493736389942063,0.0,0.1987,0.5120648522835817,0.1321999999999999,0.2191,0.0208999999999999,0.0273832609129611,0.0,0.0215999999999999,0.0,0.5286607089714703,0.5129128235214548,0.0273832609129611,0.470351412381941,0.5971413087657499,0.7373254401942926,0.7984013006367702,10,6,9
0.00865491665,0.0128124939548499,-0.0041575773048499,-2432000.0,82.55,0.0096499999999999,0.7,0.66,15.0,,0.2601871719211898,-0.1412603565,0.5971768570379413,-2633333.333333333,-158000000.0,96.67833333333331,0.009485,0.7,0.5385000000000001,12.791666666666666,,1.76,3.4799990654,0.0,0.0,3.2139766928637625,0.0,6.5499978065,0.4125538645278307,3.4799990654,9.1299972534,2.8837990654,0.0275531999680351,-0.8599996567,2.6635988807040007,0.0,1.249229980300531,0.4512551527278628,2.8837990654,1.0,0.3167253759653163,0.9568913175470553,0.4890484577518855,10,4,7
0.0243108135,0.0102269937548276,0.0140838197451724,0.0,16.1,,,,10.0,,0.5013296161022902,-0.104831358,0.5135685151994759,0.0,0.0,15.745762711864408,,,,7.11864406779661,,2.81,0.6067,0.2744,0.1189,2.0020059737650064,0.0,1.755799055131,0.4125538645278307,1.3799991608,1.755799055131,-1.953299466,-1.2517126443288291,0.0,-1.1839003467850002,0.0,0.3705133889043058,0.3590881838567606,1.953299466,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,1,10
-0.0180641875,-0.0059897534967849,-0.0120744340032151,37916000.0,264.15,,,,5.0,,,,,20829421.05263158,791518000.0,114.50394736842104,,,,3.8157894736842106,,2.36,0.526,0.0,0.87,0.1974099938648542,0.04969997406,0.073599967957,0.4213570360869877,0.171699943544,0.210599918367,-0.008,0.0363812085212584,0.018299980164,-0.028500003814,0.0,0.3568353847384563,0.0422690654706104,0.0363812085212584,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,8,4
-0.0225504065,-0.0370646898832063,0.0145142833832062,0.0,38.0,0.01115,0.6154999999999999,0.27,10.5,,0.2580090233842422,-0.1191331325,0.4662520963498606,0.0,0.0,32.64736842105263,0.01183,0.6723166666666667,0.431,7.875,,3.2,0.5802,0.4022999999999999,0.0175,0.1912561716718273,0.047299976349,0.111299972534,0.5019309073017177,0.196499938965,0.256799907684,-0.0134999999999999,-0.0010122360495845,0.024699993134,0.014099998475,0.0,0.3937243114114138,0.3937243114114138,0.024699993134,1.0,0.3167253759653163,0.9568913175470553,0.4890484577518855,10,8,4
0.0137557189299999,0.0135909483386971,0.0001647705913028,652080000.0,456.84,0.00881,0.3663,0.03,8.7,3.997262149212868,0.8625628037185493,-0.0686604208999999,0.5164091743192726,48950333.333333336,2937020000.0,342.22877777777774,0.0093366666666666,0.394675,0.1496666666666666,6.5,1.5615788272872462,2.9,0.5924,0.3762,0.0314,0.0,0.0,0.48839981079,0.307699851989,0.0,0.796099662779,,0.0,0.0,0.0034999465969999,0.004299983979,0.4476892136931368,0.0309668906663936,0.004299983979,1.0,0.3167253759653163,0.9568913175470553,0.4890484577518855,10,0,10
0.0137977461999999,0.0135909483386971,0.0002067978613028,-992000.0,607.5749999999999,,,,13.75,,1.2171350950420194,-0.0804558755,0.7071357435842396,675133.3333333334,40508000.0,437.12916666666666,,,,11.333333333333334,,2.9,0.6345000000000001,0.2859999999999999,0.0795,5.954160941317772,1.222299804722,5.23329742427,0.4125538645278307,6.482298126222,8.995596237192,-5.327597663945,-0.1667690815301652,-0.029799728323,0.5604996107769997,0.0,1.4780188933044234,0.877727214794209,5.327597663945,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,6,6
0.0235526822,-0.0132635487262072,0.0368162309262072,-10685000.0,77.66,0.01446,0.578,1.57,13.0,,0.1009935152741194,-0.1081502017999999,0.5246147970944158,23196916.666666668,1391815000.0,42.73766666666666,0.013464,0.3767333333333333,1.4426666666666668,10.386666666666668,,1.62,0.521,0.479,0.0,3.441860266557885,1.7699990273,3.565797824937,0.4646463948705356,2.7599987984,6.325796623336999,-1.2889989892,0.3515415332283336,-0.0399999618999999,-3.704199771663,0.0,0.7903355438655373,0.5898088780308534,3.704199771663,0.6105203021521409,0.5288352978367882,0.628077986912231,0.5029806259314457,10,4,6
-0.0042325133333333,0.0047442738570946,-0.0089767871904279,0.0,1723.4333333333334,,,,8.0,,0.4998271528893089,-0.0446967266666666,0.4150911808110918,0.0,0.0,583.8633333333333,,,,5.666666666666667,,2.21,0.5039,0.4162,0.0799,0.0,0.0,0.410099868778,0.256899890899,0.0,0.666999759677,,0.0,0.0,-0.004400100701,0.014899978638,0.4388173783522066,0.201557173253655,0.014899978638,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,0,10
